Ticker,Weekly Close,EMA12,EMA26,MACD,Signal,Hist,Last Updated,Momentum
PYPL,69.9,70.84,71.68,-0.84,-0.85,0.01,2025-08-23 01:15:30,Yes
XYZ,79.12,71.41,68.98,2.43,0.14,2.29,2025-08-23 01:15:30,Yes
ADYEN.AS,1474.4,1508.13,1513.81,-5.68,15.09,-20.78,2025-08-23 01:15:30,No
NU,13.94,12.77,12.48,0.29,0.17,0.12,2025-08-23 01:15:30,Yes
COIN,319.85,320.21,291.76,28.45,27.22,1.23,2025-08-23 01:15:30,Yes
HOOD,109.32,96.44,78.8,17.63,14.87,2.76,2025-08-23 01:15:30,Yes
SOFI,25.02,20.28,17.47,2.82,1.94,0.88,2025-08-23 01:15:30,Yes
ETERNAL.NS,319.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 01:15:30,No
DASH,247.32,237.81,218.93,18.88,17.45,1.42,2025-08-23 01:15:30,Yes
DHER.DE,24.17,24.42,25.08,-0.66,-0.95,0.29,2025-08-23 01:15:30,Yes
TKWY.AS,20.15,19.78,18.78,1.0,1.15,-0.15,2025-08-23 01:15:30,No
UBER,96.79,89.96,85.14,4.83,4.57,0.26,2025-08-23 01:15:30,Yes
LYFT,17.01,14.99,14.53,0.46,0.36,0.1,2025-08-23 01:15:30,Yes
GRAB,5.13,4.98,4.83,0.15,0.15,0.0,2025-08-23 01:15:30,No
PRX.AS,53.61,49.34,46.25,3.1,2.6,0.5,2025-08-23 01:15:30,Yes
ZG,83.92,75.76,72.44,3.32,1.85,1.47,2025-08-23 01:15:30,Yes
REA.AX,263.16,242.95,239.35,3.59,1.81,1.78,2025-08-23 01:15:30,Yes
RMV.L,770.8,773.0,745.71,27.28,31.2,-3.92,2025-08-23 01:15:30,No
CARG,34.18,32.3,32.07,0.23,0.08,0.15,2025-08-23 01:15:30,Yes
AUTO.L,824.2,819.8,814.79,5.01,6.26,-1.25,2025-08-23 01:15:30,No
3659.T,3374.0,2907.45,2681.6,225.84,155.98,69.87,2025-08-23 01:15:30,Yes
036570.KS,197300.0,193154.14,184601.51,8552.63,5115.4,3437.23,2025-08-23 01:15:30,Yes
TTWO,229.03,227.37,220.12,7.26,9.63,-2.37,2025-08-23 01:15:30,No
EA,171.4,159.05,152.77,6.28,3.93,2.36,2025-08-23 01:15:30,Yes
RBLX,117.52,110.37,94.56,15.81,14.28,1.53,2025-08-23 01:15:30,Yes
U,39.16,31.56,27.73,3.83,2.4,1.43,2025-08-23 01:15:30,Yes
259960.KS,328500.0,339945.0,345891.03,-5946.03,927.12,-6873.15,2025-08-23 01:15:30,No
DBX,28.82,27.79,27.84,-0.06,-0.03,-0.03,2025-08-23 01:15:30,No
ZM,82.47,76.1,76.5,-0.39,-0.3,-0.1,2025-08-23 01:15:30,No
TWLO,106.38,113.08,110.74,2.34,4.31,-1.98,2025-08-23 01:15:30,No
SHOP,142.11,125.49,115.02,10.47,6.87,3.61,2025-08-23 01:15:30,Yes
GDDY,147.07,160.49,168.85,-8.36,-4.37,-3.99,2025-08-23 01:15:30,No
WIX,131.82,143.42,156.77,-13.36,-10.87,-2.49,2025-08-23 01:15:30,No
NET,196.17,187.53,166.7,20.83,19.58,1.24,2025-08-23 01:15:30,Yes
AKAM,77.64,76.79,79.67,-2.88,-3.28,0.4,2025-08-23 01:15:30,Yes
UPWK,14.92,13.73,13.94,-0.21,-0.21,-0.0,2025-08-23 01:15:30,No
FVRR,23.62,25.44,26.83,-1.4,-0.6,-0.79,2025-08-23 01:15:30,No
TDOC,7.68,7.61,7.98,-0.37,-0.47,0.1,2025-08-23 01:15:30,Yes
MTCH,37.3,34.03,32.71,1.33,0.42,0.9,2025-08-23 01:15:30,Yes
BMBL,6.36,6.44,6.31,0.13,-0.03,0.16,2025-08-23 01:15:30,Yes
ANGI,18.25,16.8,16.63,0.17,-0.35,0.52,2025-08-23 01:15:30,Yes
SSTK,21.93,19.79,20.57,-0.78,-1.66,0.88,2025-08-23 01:15:30,Yes
TTD,53.2,67.08,72.72,-5.64,-5.15,-0.5,2025-08-23 01:15:30,No
VMEO,4.2,4.12,4.5,-0.38,-0.4,0.02,2025-08-23 01:15:30,Yes
4385.T,2286.0,2356.63,2347.99,8.64,53.81,-45.17,2025-08-23 01:15:30,No
JMIA,7.87,5.24,4.42,0.83,0.3,0.53,2025-08-23 01:15:30,Yes
ALE.WA,38.34,35.82,34.25,1.58,1.13,0.44,2025-08-23 01:15:30,Yes
ASC.L,307.0,315.71,321.92,-6.21,-8.94,2.73,2025-08-23 01:15:30,Yes
BOO.L,No Data,0.0,0.0,0.0,0.0,0.0,2025-08-23 01:15:30,No
CHWY,39.57,39.07,38.21,0.86,1.47,-0.6,2025-08-23 01:15:30,No
ETSY,62.66,58.9,55.8,3.1,1.83,1.27,2025-08-23 01:15:30,Yes
HFG.DE,8.12,8.68,9.1,-0.42,-0.33,-0.09,2025-08-23 01:15:30,No
JUSTDIAL.NS,834.65,864.2,892.6,-28.39,-24.47,-3.93,2025-08-23 01:15:30,No
NAUKRI.NS,1380.6,1400.01,1423.87,-23.87,-17.41,-6.46,2025-08-23 01:15:30,No
069080.KS,14200.0,14413.77,14315.78,98.0,65.26,32.74,2025-08-23 01:15:30,Yes
NTES,131.89,127.75,119.37,8.38,8.81,-0.43,2025-08-23 01:15:30,No
NVDA,177.99,164.7,149.88,14.82,11.0,3.82,2025-08-23 01:15:30,Yes
035720.KS,63600.0,57375.83,51513.6,5862.23,4674.52,1187.72,2025-08-23 01:15:30,Yes
GRPN,26.69,29.86,26.29,3.58,4.54,-0.96,2025-08-23 01:15:30,No
YELP,32.45,33.65,34.85,-1.19,-0.77,-0.42,2025-08-23 01:15:30,No
TRIP,17.69,16.52,15.71,0.81,0.4,0.41,2025-08-23 01:15:30,Yes
SWIGGY.NS,427.9,389.45,384.15,5.3,-3.89,9.19,2025-08-23 01:15:30,Yes
NYKAA.NS,224.94,208.46,199.07,9.39,8.16,1.22,2025-08-23 01:15:30,Yes
PAYTM.NS,1264.6,1039.51,946.98,92.53,62.64,29.89,2025-08-23 01:15:30,Yes
POLICYBZR.NS,1911.2,1803.13,1758.39,44.74,37.5,7.24,2025-08-23 01:15:30,Yes
